episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,17272.9242,0,0,0.0,26.2657,5.43,0.816228,81.53,6.8,0.0
1,17184.0054,0,0,0.0,24.5574,6.06,0.816228,80.98,7.54,0.0
2,17286.1312,0,0,0.0,24.6422,5.33,0.816228,81.48,7.42,0.0
3,17163.4856,0,0,0.0,23.8788,5.98,0.816228,80.47,7.81,0.0
4,17081.9098,0,0,0.0,24.4581,6.9,0.816228,80.23,7.56,0.0
5,17365.4719,0,0,0.0,25.9459,4.99,0.816228,82.03,6.86,0.0
6,17181.9969,0,0,0.0,24.8026,5.41,0.816228,80.66,7.32,0.0
7,17138.7033,0,0,0.0,24.3002,5.73,0.816228,80.52,7.54,0.0
8,17117.7827,0,0,0.0,24.4469,9.76,0.816228,80.48,8.02,0.0
9,17243.1408,0,0,0.0,23.9989,5.07,0.816228,81.06,7.58,0.0
10,17252.4161,0,0,0.0,25.2699,6.08,0.816228,81.37,6.97,0.0
11,17278.4319,0,0,0.0,25.8742,4.23,0.816228,81.83,6.74,0.0
12,17283.3568,0,0,0.0,23.4301,5.69,0.816228,81.49,8.0,0.0
13,17310.0079,0,0,0.0,26.9507,5.48,0.816228,81.9,6.5,0.0
14,17195.2186,0,0,0.0,24.8079,5.13,0.816228,80.91,7.25,0.0
15,17251.2585,0,0,0.0,27.1189,5.8,0.816228,81.12,6.34,0.0
16,17255.4822,0,0,0.0,24.8649,4.61,0.816228,81.36,7.19,0.0
17,17306.2574,0,0,0.0,24.7827,4.97,0.816228,81.72,7.22,0.0
18,17229.7445,0,0,0.0,25.4565,6.67,0.816228,81.27,7.04,0.0
19,17257.6929,0,0,0.0,24.9082,7.21,0.816228,81.36,7.35,0.0
20,17296.8616,0,0,0.0,24.9475,5.32,0.816228,81.69,7.23,0.0
21,17170.4395,0,0,0.0,23.9063,6.38,0.816228,80.69,7.69,0.0
22,17243.3426,0,0,0.0,25.529,5.54,0.816228,81.25,7.18,0.0
23,17251.2584,0,0,0.0,26.206,5.38,0.816228,81.67,6.62,0.0
24,17160.2805,0,0,0.0,24.5458,5.7,0.816228,80.7,7.51,0.0
25,17353.6054,0,0,0.0,24.6974,4.55,0.816228,82.53,7.09,0.0
26,17357.9725,0,0,0.0,24.6485,5.15,0.816228,82.12,7.46,0.0
27,17250.5367,0,0,0.0,24.0007,4.56,0.816228,81.51,7.55,0.0
28,17016.455,0,0,0.0,22.0276,5.82,0.816228,79.36,8.75,0.0
29,17265.7207,0,0,0.0,27.9505,6.15,0.816228,81.22,6.14,0.0
30,17129.619,0,0,0.0,22.9576,5.48,0.816228,80.82,8.22,0.0
31,17220.2112,0,0,0.0,24.4078,5.23,0.816228,81.42,7.51,0.0
32,17245.7337,0,0,0.0,23.7574,5.86,0.816228,81.45,7.91,0.0
33,17271.432,0,0,0.0,24.3826,5.67,0.816228,81.58,7.32,0.0
34,17222.9777,0,0,0.0,25.3695,6.11,0.816228,80.95,7.2,0.0
35,17198.8608,0,0,0.0,23.8614,4.85,0.816228,80.85,7.99,0.0
36,17346.688,0,0,0.0,25.0476,4.83,0.816228,82.5,6.9,0.0
37,17290.8393,0,0,0.0,26.5088,5.06,0.816228,81.8,6.73,0.0
38,17323.3808,0,0,0.0,25.1121,5.22,0.816228,81.92,7.05,0.0
39,17395.8995,0,0,0.0,27.3115,5.52,0.816228,82.38,6.22,0.0
40,17233.1551,0,0,0.0,25.5335,5.4,0.816228,81.34,6.78,0.0
41,17256.0021,0,0,0.0,25.5796,6.09,0.816228,81.18,7.08,0.0
42,17293.215,0,0,0.0,23.8976,5.12,0.816228,81.75,7.52,0.0
43,17230.4577,0,0,0.0,27.0728,5.01,0.816228,81.02,6.46,0.0
44,17213.5623,0,0,0.0,25.971,6.86,0.816228,81.0,6.88,0.0
45,17273.2859,0,0,0.0,26.3877,6.02,0.816228,81.87,6.74,0.0
46,17259.1527,0,0,0.0,24.1118,5.53,0.816228,81.47,7.64,0.0
47,17326.5381,0,0,0.0,24.7789,5.84,0.816228,82.12,7.2,0.0
48,17193.5072,0,0,0.0,25.6102,5.48,0.816228,80.91,6.98,0.0
49,17183.2905,0,0,0.0,23.7468,6.22,0.816228,81.02,7.78,0.0
