episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,729.1971,0.734952,-0.0025,0.981,33.0256,4771878.41,0.917827,62.1,18.7,60.2
1,732.115,0.047485,1.1672,0.962,34.0501,67990.94,0.94576,62.2,18.8,58.9
2,726.1522,0.038425,3.113,0.943,36.2014,1739613.83,0.901448,61.6,19.0,59.3
3,740.0643,0.03807,5.1126,0.924,34.6016,102011.22,0.892219,63.9,17.7,60.3
4,750.804,0.053562,7.0904,0.905,43.5021,216969.13,0.926483,65.2,17.6,59.4
5,749.6133,0.079666,9.2158,0.886,39.3148,468394.94,0.935146,65.2,17.0,59.1
6,745.0099,0.102898,11.4933,0.867,41.5836,321004.82,0.935329,64.4,17.7,60.7
7,753.9392,0.113088,13.5785,0.848,42.1256,72175.33,0.970424,66.0,17.3,59.6
8,769.9256,0.145013,15.6296,0.829,45.599,348156.25,0.884618,67.1,14.9,59.7
9,757.6814,0.181824,17.7564,0.81,41.597,79967.08,0.905543,66.2,16.8,58.6
10,758.4506,0.218584,19.8194,0.791,36.9603,391046.7,0.882623,66.5,16.7,59.6
11,778.6453,0.257681,21.7432,0.772,45.6539,86609.17,0.874194,69.2,15.5,59.2
12,742.6883,0.29593,23.7306,0.753,40.3651,2058676.07,0.927835,64.3,17.7,62.0
13,753.2266,0.351907,25.7452,0.734,45.7955,302925.87,0.910938,65.6,16.5,61.8
14,773.2536,0.386121,27.7962,0.715,35.3424,171545.28,0.914862,68.5,15.0,59.2
15,752.3702,0.453087,29.7259,0.696,36.4495,1408186.83,0.908578,65.7,17.5,57.9
16,767.4328,0.472392,31.7127,0.677,39.0404,137497.93,0.888364,68.3,17.1,59.0
17,761.6775,0.516397,33.6699,0.658,38.5021,50733.97,0.965888,67.7,16.1,59.1
18,750.5894,0.601703,35.4118,0.639,40.9031,77853.57,0.918295,65.4,17.8,59.5
19,773.2393,0.649833,37.3492,0.62,43.2282,41974.12,0.875077,68.6,16.3,59.7
20,764.6296,0.667184,39.2197,0.601,42.3174,439122.42,0.915663,67.5,18.2,58.1
21,763.3033,0.745289,40.6417,0.582,40.7027,29635.99,0.943298,68.6,18.1,58.3
22,760.767,0.752509,42.2809,0.563,43.6195,9339.78,0.890174,67.3,17.8,58.1
23,759.6556,0.829249,44.3972,0.544,37.1083,18458.76,0.918828,66.3,16.8,57.8
24,779.2278,0.926168,46.5243,0.525,36.4601,78128.42,0.875566,69.6,15.3,59.5
25,772.2065,0.968988,48.3041,0.506,45.9786,84750.61,0.856737,67.4,16.8,58.4
26,762.7898,1.030365,50.2747,0.487,38.6269,67579.34,0.870316,66.6,16.8,58.9
27,767.6534,1.151842,52.1031,0.468,39.1918,268524.72,0.882234,67.5,16.4,58.1
28,769.6236,1.190443,53.9939,0.449,40.1958,44713.43,0.885556,68.2,16.3,57.5
29,780.5217,1.249077,55.7048,0.43,40.3305,78468.75,0.867239,69.0,14.6,59.2
30,789.6589,1.305602,57.3836,0.411,40.823,539684.36,0.888393,70.8,15.5,57.6
31,785.1455,1.404967,59.3885,0.392,44.1692,394435.03,0.839027,69.4,13.8,56.3
32,770.4318,1.477048,61.1273,0.373,34.8334,32217.43,0.8789,69.0,16.5,58.4
33,780.5882,1.506085,62.9293,0.354,37.5233,34335.27,0.890181,69.8,15.1,57.8
34,776.8673,1.525424,64.253,0.335,48.0775,195362.03,0.905322,70.3,15.1,58.8
