episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,4376.8228,0.437958,6.4547,0.886,33.7369,33.74,0.944758,62.1,17.9,74.47
1,4460.6116,0.275602,20.2857,0.772,36.8922,27.31,0.925428,64.75,17.25,74.3
2,4361.4051,0.437405,35.2446,0.658,32.5457,35.82,0.949348,61.93,18.22,73.68
3,4531.2848,0.689489,52.4413,0.544,40.4714,42.4,0.912469,66.45,17.12,72.37
4,4619.672,1.241816,70.089,0.43,49.1311,16.26,0.90822,69.0,16.7,71.85
5,4579.0117,1.791095,89.5412,0.316,42.1321,22.84,0.926504,68.23,17.05,69.2
6,4536.2442,2.94497,110.35,0.202,37.4609,25.76,0.902942,66.6,17.28,67.9
7,4553.45,4.421414,130.5197,0.088,37.4269,17.19,0.984564,67.5,16.98,64.43
8,4570.742,4.576478,152.1183,0.05,33.1396,22.6,0.924799,67.42,17.38,63.92
9,4546.3245,6.48744,175.0406,0.05,35.0351,18.09,0.864893,67.05,17.65,61.67
10,4617.1178,5.323734,199.1597,0.05,30.9719,18.23,0.833104,68.12,16.97,61.2
11,4568.6141,9.357793,221.9013,0.05,36.9038,26.05,0.883313,67.57,17.63,65.55
12,4519.9235,13.125671,244.4116,0.05,34.4354,18.55,0.902093,66.15,18.15,64.3
13,4476.4769,11.225409,266.2377,0.05,39.026,25.04,1.038904,66.47,18.1,63.08
14,4479.5015,16.307124,291.4704,0.05,31.2584,21.96,0.953251,65.33,17.73,65.68
15,4520.4797,18.836215,318.9296,0.05,38.2918,20.54,0.904487,66.3,17.82,58.97
16,4502.7782,23.451941,349.1907,0.05,28.6882,19.43,0.911545,66.0,17.9,59.1
17,4597.7409,25.283179,378.984,0.05,31.9479,15.34,0.956974,68.8,17.18,60.12
18,4540.0327,27.529682,402.1496,0.05,40.1884,21.3,0.914726,66.98,17.38,65.45
19,4583.5379,35.788086,432.7151,0.05,37.6142,18.18,0.922673,67.88,18.18,60.45
20,4494.5303,48.808792,463.3701,0.05,36.1944,20.39,0.988217,65.33,17.43,59.98
21,4458.4622,45.259207,492.3186,0.05,31.9514,27.08,0.908455,64.53,18.98,61.3
22,4498.3529,41.584943,523.2229,0.05,32.1558,28.46,0.86984,65.5,18.5,61.55
23,4422.7892,54.337139,543.2431,0.05,28.9972,21.68,1.0156,65.28,19.05,64.1
24,4507.5635,54.584665,573.3842,0.05,33.3848,24.72,0.889159,66.17,17.9,60.28
25,4567.6134,63.699494,599.91,0.05,33.3183,16.49,0.928821,67.88,17.7,57.45
26,4550.7651,45.585404,620.6601,0.05,37.0436,19.83,0.954214,67.27,17.95,65.88
27,4519.0722,68.436043,661.058,0.05,33.529,16.49,0.954012,67.15,18.13,61.8
28,4574.0036,88.750782,696.2467,0.05,34.0089,18.01,0.946064,68.03,17.33,62.58
29,4588.2042,86.646133,723.7107,0.05,39.1936,20.2,0.978081,68.47,17.27,64.48
30,4605.9655,86.427495,741.531,0.05,42.8249,15.78,0.835517,67.8,16.75,62.03
31,4329.3902,86.340796,756.6771,0.05,33.0496,27.27,0.948106,62.37,18.7,57.42
32,4551.3481,96.753536,784.6786,0.05,40.7063,18.3,1.001306,67.93,17.47,62.18
33,4542.2289,137.912753,815.156,0.05,35.3392,22.58,0.833035,66.18,17.7,64.57
34,4584.8484,95.581196,852.1833,0.05,34.4013,17.73,0.898461,67.78,17.02,62.93
35,4533.6547,79.700114,883.4422,0.05,35.0176,21.74,0.991254,67.05,17.57,62.12
36,4446.4085,99.510455,904.8166,0.05,32.3164,28.18,0.947289,64.68,18.63,61.25
37,4532.6167,118.419702,923.8828,0.05,29.575,19.39,0.944581,67.32,17.83,60.52
38,4592.7093,126.593304,944.5256,0.05,37.8361,17.71,1.019192,69.45,17.75,58.25
39,4620.6725,106.499412,988.0132,0.05,39.9109,14.16,0.8837,68.4,16.43,62.72
40,4543.9106,177.648134,1004.9915,0.05,37.2172,20.3,0.888856,67.17,17.75,58.0
41,4498.6579,137.211921,1038.0352,0.05,35.3401,23.07,0.994183,66.52,17.83,65.22
42,4701.4103,207.573741,1067.886,0.05,46.6845,13.33,0.93012,71.32,16.57,61.4
43,4565.6958,176.032375,1091.7639,0.05,33.0435,20.02,0.910624,67.57,16.95,59.62
44,4608.3901,184.645709,1125.8495,0.05,39.9034,15.6,0.856386,67.23,17.02,60.17
45,4796.4282,152.407295,1146.0053,0.05,45.704,14.25,0.939712,73.15,14.85,56.5
46,4469.5949,154.515976,1143.5395,0.05,36.3016,23.85,0.944758,65.27,18.37,61.12
47,4513.1676,131.769551,1151.1089,0.05,35.5632,16.35,0.948149,66.38,17.9,62.67
48,4609.2498,184.089276,1173.1758,0.05,38.3228,18.82,0.878385,68.75,17.58,60.28
49,4456.7127,174.043684,1198.1307,0.05,37.2268,26.16,1.004321,64.9,17.47,61.42
50,4630.7808,157.920343,1219.6036,0.05,42.9166,17.62,0.924567,68.43,16.85,61.2
51,4463.3113,201.902822,1229.1732,0.05,35.3024,26.03,0.891428,64.3,17.97,59.47
52,4606.3948,137.000188,1243.1817,0.05,41.1738,16.6,0.976424,69.33,16.9,63.82
53,4447.9186,185.326806,1257.4796,0.05,29.2854,18.65,0.982574,65.03,18.0,63.5
54,4513.903,178.90806,1257.6217,0.05,39.7065,20.46,0.932017,66.63,17.97,61.52
55,4432.9969,166.27114,1282.7187,0.05,25.6835,20.92,0.980384,64.88,18.28,62.57
56,4510.554,176.244969,1316.5691,0.05,30.783,23.0,0.948607,66.83,17.92,59.95
57,4551.0308,172.690403,1338.3857,0.05,42.3131,15.9,0.923751,66.37,17.3,61.2
58,4373.5628,195.910552,1327.1348,0.05,25.8426,30.49,0.938832,63.1,18.9,59.95
59,4448.5102,148.97655,1336.833,0.05,31.116,17.45,0.953932,64.45,17.45,60.35
60,4606.4638,207.630596,1358.1383,0.05,42.4277,24.56,0.894291,67.58,16.1,59.45
61,4464.9276,177.842724,1367.5185,0.05,35.5211,27.19,0.896914,64.6,18.1,63.25
62,4552.8166,182.495299,1364.1469,0.05,35.5343,18.44,0.933091,67.32,17.5,64.22
63,4513.8288,178.364725,1372.2755,0.05,31.7071,17.87,0.903278,65.97,18.1,61.08
64,4607.2101,171.687134,1380.6391,0.05,42.354,21.07,0.881459,67.5,17.0,60.03
65,4629.8418,174.964723,1372.4736,0.05,37.6922,23.2,0.823538,68.35,17.65,66.03
66,4600.5309,164.446349,1359.3028,0.05,45.8384,14.79,0.998965,69.13,16.63,64.03
67,4642.1448,239.411854,1367.0458,0.05,42.3298,20.18,0.936265,69.32,17.25,59.75
68,4576.224,128.998401,1398.8381,0.05,39.196,17.98,0.984368,68.17,16.53,59.08
69,4657.3015,168.868356,1396.8737,0.05,39.6575,16.02,0.885696,69.15,16.9,61.98
70,4473.522,188.606769,1391.8419,0.05,33.1377,26.08,0.987195,65.85,18.3,60.93
71,4589.3363,110.096162,1399.8392,0.05,49.833,16.42,0.914907,67.73,17.22,58.67
72,4584.9437,251.089195,1424.5901,0.05,34.3593,21.15,0.927918,67.65,16.88,59.63
73,4612.7649,198.545651,1418.0683,0.05,40.1453,17.24,1.027399,69.37,16.77,59.83
74,4493.0809,251.129729,1403.4255,0.05,29.2854,18.63,0.853964,65.15,18.07,59.32
75,4566.3136,185.582124,1409.8332,0.05,32.9586,22.57,0.989621,67.5,17.65,60.03
76,4483.9038,203.223741,1417.2578,0.05,36.2879,23.03,0.908708,65.5,17.95,61.77
77,4542.4406,233.956382,1418.1963,0.05,31.1254,19.14,0.883015,67.13,18.32,60.93
78,4496.2039,152.966361,1413.9061,0.05,35.0024,24.11,0.974621,65.8,17.63,59.28
79,4447.6038,132.18651,1425.9935,0.05,32.274,25.85,1.052027,65.57,18.18,54.62
80,4554.5904,165.320485,1434.3802,0.05,32.6686,17.2,0.902036,67.02,17.67,59.38
81,4559.1986,217.609737,1446.774,0.05,39.4639,17.91,0.880852,67.5,17.85,63.18
82,4625.738,152.737001,1460.5624,0.05,43.889,19.74,0.936215,69.15,16.52,61.42
83,4533.8282,199.732055,1471.3926,0.05,33.8278,21.23,0.866504,66.48,17.98,58.68
84,4492.6154,161.43113,1463.0473,0.05,37.7288,23.86,0.925639,65.42,17.65,63.0
85,4595.0696,196.319554,1446.2916,0.05,35.9825,17.82,0.911528,67.42,16.42,61.92
86,4727.6104,151.889333,1451.1678,0.05,52.648,14.94,0.884437,70.13,15.42,56.07
87,4597.4472,205.734264,1456.0559,0.05,35.5601,19.95,0.869877,67.67,17.85,59.55
88,4444.6175,152.980635,1445.2758,0.05,27.2061,22.44,0.951367,64.83,17.82,59.7
89,4556.5767,210.921203,1434.9979,0.05,41.7814,19.89,0.976852,67.35,16.78,61.2
90,4541.7649,140.113434,1429.9806,0.05,42.9886,17.17,0.87147,66.33,18.28,64.83
91,4493.0405,144.204638,1434.7752,0.05,42.6042,18.83,1.062627,66.88,17.73,57.3
92,4603.522,178.879591,1454.9967,0.05,36.9041,19.53,0.970177,68.58,16.68,61.83
93,4458.7848,115.167814,1437.2241,0.05,36.5559,23.48,1.016873,65.55,17.73,60.42
94,4507.7688,220.547696,1412.4414,0.05,35.4137,22.24,0.896982,66.32,18.5,56.93
95,4595.0079,124.163125,1403.3919,0.05,49.3469,20.81,1.000967,68.67,16.8,59.53
96,4457.2724,195.36235,1401.0596,0.05,28.8353,25.03,0.993661,64.57,18.47,58.75
97,4451.6822,123.140172,1409.9186,0.05,28.2653,22.01,0.91701,64.97,18.67,56.53
