episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,181.2732,0,0,0.9952,30.9667,24198.47,0.927523,63.2,18.8,62.0
1,181.5035,0,0,0.9905,31.6789,450179.7,0.927512,62.0,18.8,58.4
2,185.6452,0,0,0.9858,30.581,89802.5,0.921597,64.4,17.2,60.4
3,182.9336,0.791352,0.0232,0.981,32.8131,105510.46,0.956227,62.0,15.6,61.2
4,187.6639,0.095861,0.6696,0.9762,32.1639,117079.4,0.976882,66.0,18.0,66.4
5,187.9783,0.012095,0.7483,0.9715,42.5585,42201.8,0.917476,65.6,17.2,59.2
6,183.4778,0.047527,1.7157,0.9667,42.2333,6721407.2,0.955884,62.0,17.2,58.8
7,185.0578,0.026451,1.7411,0.962,38.8608,54090.17,0.979881,64.0,17.6,62.8
8,183.7681,0.041042,2.6952,0.9573,30.7825,43894.68,0.996199,64.0,17.6,59.6
9,180.8544,0.024147,2.6694,0.9525,29.0095,41415.96,0.934894,61.6,18.4,61.2
10,190.9505,0.045213,3.6556,0.9477,39.6767,428666.61,0.990449,68.4,17.2,60.0
11,189.3931,0.030978,3.6594,0.943,38.9737,17107.56,0.985755,66.8,15.6,66.8
12,182.6894,0.057354,4.6756,0.9383,40.2853,371462.45,0.917022,62.8,19.2,66.0
13,187.6859,0.041909,4.663,0.9335,29.667,213523.54,0.824249,66.8,19.6,58.8
14,182.8993,0.075873,5.7172,0.9287,31.3632,31697.5,1.00374,62.8,18.4,60.8
15,179.9606,0.060407,5.7106,0.924,28.9184,63641.17,0.891814,61.2,20.0,58.4
16,187.0649,0.104745,6.819,0.9193,33.8286,775419.52,0.88991,63.6,16.0,54.0
17,186.8765,0.093787,6.8105,0.9145,34.0748,293200.04,1.027789,66.4,15.2,61.6
18,186.1482,0.139306,7.9952,0.9098,35.1147,27661.73,0.911957,64.8,16.4,63.2
19,183.9606,0.117067,7.9524,0.905,35.2099,223234.69,0.928841,64.0,18.4,64.0
20,188.2295,0.156171,9.2008,0.9002,41.4409,4365534.22,0.942578,66.8,15.6,63.2
21,183.6847,0.131638,9.1931,0.8955,28.4602,44443.35,0.911411,64.4,20.4,63.6
22,185.3611,0.201175,10.4485,0.8908,43.5844,8254.67,0.98235,63.2,16.4,62.4
23,184.9063,0.177487,10.3999,0.886,36.7553,24293.34,0.935278,64.8,18.8,56.8
24,183.1697,0.230128,11.7571,0.8812,22.7498,12348.35,0.900862,64.8,19.2,61.2
25,184.2303,0.196953,11.6465,0.8765,26.9836,90102.54,1.019327,64.8,16.8,56.8
26,190.5317,0.266906,13.0299,0.8718,43.85,13189.29,0.942581,68.0,16.4,59.2
27,191.5118,0.239829,13.0354,0.867,25.7067,28843.79,0.914156,69.2,15.6,58.4
28,184.787,0.342086,14.2968,0.8622,31.4029,115095.16,0.90455,64.0,18.4,60.4
29,182.5943,0.322183,14.2571,0.8575,39.9468,1189042.02,0.93336,62.4,18.0,61.6
30,184.472,0.385306,15.5193,0.8528,40.6953,153270.3,0.943705,63.2,16.4,58.4
31,184.4508,0.348383,15.492,0.848,41.98,121931.81,0.981687,64.8,18.0,60.0
32,191.8744,0.410741,16.7733,0.8433,42.5952,31137.64,0.941437,68.4,16.8,61.6
33,182.7516,0.395002,16.7453,0.8385,24.0236,24317.13,0.937052,63.2,18.8,57.2
34,182.0054,0.480346,18.1496,0.8337,39.1874,25793.71,0.918299,61.6,18.4,61.2
35,183.1727,0.467284,17.9833,0.829,29.6978,40285.06,0.944507,63.6,18.4,61.2
36,189.1799,0.564276,19.4098,0.8243,35.9747,48098.42,0.86806,67.6,17.6,64.0
37,187.7577,0.544558,19.3281,0.8195,37.0302,83742.42,0.907304,66.4,17.2,60.0
38,186.8024,0.597681,20.5809,0.8147,34.9133,93820.13,0.899134,65.2,18.0,57.6
39,192.7862,0.550188,20.504,0.81,40.7953,63650.9,0.989156,69.2,15.2,62.0
40,183.3724,0.691884,22.0429,0.8053,45.5248,23006.45,0.949432,61.6,16.8,57.6
41,189.6578,0.601756,22.0144,0.8005,46.6245,83176.42,0.914436,66.8,17.6,60.8
42,186.0935,0.779034,23.2867,0.7957,37.7207,113343.0,0.908933,64.8,16.8,63.2
43,190.3761,0.728645,23.2741,0.791,36.6657,58893.33,0.881373,67.6,17.2,58.0
44,184.8559,0.852925,24.603,0.7863,29.4527,30731.28,1.027593,64.0,16.8,55.6
45,185.0523,0.827324,24.5954,0.7815,34.6703,284470.17,0.900951,63.2,17.2,56.0
46,191.0478,1.037624,26.0662,0.7768,39.93,59239.07,0.910393,68.0,17.6,58.4
