episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,724.2339,0.688541,0.0268,0.981,28.2194,722943.98,0.931563,61.2,18.5,58.9
1,743.1968,0.044142,1.1601,0.962,35.3083,113218.62,0.954078,64.6,16.7,61.0
2,738.9291,0.030267,3.127,0.943,33.5011,73650.48,0.98226,63.7,16.9,58.5
3,737.0288,0.028878,5.0856,0.924,35.3694,82056.19,0.908208,63.2,18.3,59.0
4,734.5793,0.034062,7.029,0.905,37.6462,288355.53,0.933336,62.5,17.5,58.7
5,736.6972,0.052735,9.0312,0.886,36.7379,167508.43,0.942283,63.5,18.0,60.0
6,747.4812,0.067727,11.0452,0.867,33.8455,659843.32,0.909754,64.7,16.5,59.6
7,733.6093,0.096197,12.9913,0.848,36.5795,47189.59,0.919935,63.2,17.5,56.5
8,757.8991,0.113639,15.0926,0.829,35.6436,113277.04,0.936056,67.5,18.0,60.7
9,760.1658,0.12391,17.1878,0.81,36.9906,22244527.36,0.954187,66.6,16.0,57.9
10,750.7677,0.15613,19.2438,0.791,36.9539,205276.25,0.934123,65.9,16.5,59.5
11,755.1175,0.173947,21.2861,0.772,39.3267,127404.44,0.977757,67.0,17.0,60.0
12,751.4713,0.21534,23.2033,0.753,40.0105,72892.51,0.980229,65.2,16.0,58.1
13,730.2602,0.275275,24.9814,0.734,37.9694,224106.65,1.014879,63.3,18.2,61.5
14,761.6529,0.311888,26.7663,0.715,40.0971,56289.84,1.008279,67.7,16.0,59.0
15,775.2807,0.339301,28.4009,0.696,44.6637,18377.69,0.977263,69.7,16.2,59.6
16,760.33,0.35572,30.2324,0.677,47.4819,24873.73,1.006234,68.2,15.5,58.2
17,768.4945,0.354028,32.1278,0.658,49.6786,384239.82,0.988476,68.4,16.2,57.2
18,765.9069,0.38901,34.1181,0.639,45.327,162577.99,0.953263,67.9,16.8,60.0
19,769.9086,0.399452,36.007,0.62,54.1112,78486.14,1.004679,69.0,16.1,56.3
20,765.3127,0.477109,37.9757,0.601,41.1486,48418.63,0.936343,69.2,17.7,59.9
21,768.1466,0.534216,39.7272,0.582,44.5127,243460.94,0.941821,68.4,16.2,58.8
22,767.1024,0.531159,41.552,0.563,53.7948,48787.31,1.023207,68.3,15.3,59.2
23,770.8925,0.651803,43.4537,0.544,43.6897,14706860.99,0.958177,68.7,15.6,58.3
24,763.3349,0.680181,45.0075,0.525,45.8018,77661.35,1.035192,68.1,15.7,56.1
25,756.7755,0.823182,46.827,0.506,46.869,13856.92,1.034045,67.6,17.3,61.1
26,763.5212,0.879469,48.3889,0.487,47.9166,123405.57,1.056094,68.9,16.0,60.1
27,773.0183,0.954736,50.0562,0.468,42.1252,536476.58,0.977643,70.0,15.4,56.4
28,765.2884,0.968975,51.5288,0.449,37.6854,314345.05,0.953116,67.8,16.3,57.2
29,783.9186,1.106018,52.9901,0.43,43.7806,132900.89,0.972762,71.2,15.0,60.3
30,770.7313,1.148681,54.8572,0.411,37.3006,35076.62,0.916101,68.8,15.4,58.3
31,777.3714,1.19488,56.6345,0.392,41.4979,762628.88,0.945621,70.3,15.3,56.1
32,779.8982,1.193786,58.3105,0.373,51.7129,104372.51,0.988883,70.2,16.4,57.4
33,789.3622,1.313487,60.1588,0.354,50.5679,8790.65,0.961271,71.4,15.7,57.5
34,772.6821,1.391175,61.7803,0.335,48.8291,46821.7,1.058727,69.5,14.6,57.3
35,793.351,1.503859,63.0869,0.316,48.6337,61563.09,0.988397,72.7,14.1,59.3
36,779.7196,1.588984,64.705,0.297,42.73,155733.96,1.047079,71.7,15.3,56.9
37,775.3644,1.73466,66.8086,0.278,44.4061,85768.13,0.986838,70.6,15.3,58.1
38,764.7207,1.718578,68.431,0.259,40.5104,201668.11,1.018833,68.5,16.9,57.8
39,763.2643,1.737674,69.9303,0.24,37.5331,66736.63,1.012993,69.0,15.9,57.6
40,790.3561,1.734622,71.0534,0.221,46.0731,523892.91,0.893994,70.9,15.2,57.8
41,780.1396,1.680342,72.8226,0.202,43.4454,58108.34,0.881329,70.3,16.2,59.3
42,784.5831,1.775359,74.4053,0.183,39.8992,117292.27,0.931715,71.3,15.7,59.0
43,778.1149,1.878667,75.2359,0.164,35.5124,11842.34,0.91321,69.5,15.6,56.2
44,772.0326,1.9541,77.608,0.145,43.8139,109203.17,0.974814,69.1,15.5,58.4
45,780.2807,1.908093,79.4272,0.126,38.7323,158769.81,0.895351,69.9,16.6,54.9
46,796.0208,1.905232,80.7274,0.107,48.832,477119.95,0.932491,72.5,14.0,58.8
47,785.9259,2.00306,81.9178,0.088,45.3997,362543.49,0.949352,71.4,15.2,59.8
48,764.6315,2.085998,83.6607,0.069,45.5153,205036.39,0.981248,68.1,16.4,60.9
49,796.0688,2.164996,85.6688,0.05,45.2272,378990.0,1.051469,74.0,15.2,59.2
50,798.0758,2.192478,86.3194,0.05,46.5536,93536.37,0.889355,72.8,14.5,57.7
51,788.3512,2.093156,87.3248,0.05,39.772,113021.85,0.975427,72.4,15.0,57.6
52,772.9053,2.341494,88.6741,0.05,42.5745,159770.2,0.846553,68.6,16.9,57.1
53,776.7325,2.336331,89.8254,0.05,42.7886,131770.43,0.90596,69.4,17.1,59.3
54,775.668,2.313776,90.5919,0.05,51.5556,30807.59,0.879702,68.7,15.6,58.0
55,757.6761,2.318522,91.9191,0.05,47.4216,40691.7,1.032647,67.2,17.2,59.9
56,767.1634,2.404059,92.918,0.05,29.5757,656023.32,0.933209,68.3,15.6,54.5
57,767.7337,2.492454,93.6062,0.05,37.1448,364286.69,0.894944,67.3,16.1,60.1
58,765.5263,2.370627,93.969,0.05,39.1543,32491.6,1.034641,67.8,16.7,56.8
59,778.0377,2.421975,95.2361,0.05,44.9322,33642.79,0.984931,69.5,14.7,55.2
60,749.0153,2.322313,96.1678,0.05,32.2327,236225.16,1.025374,65.4,16.0,59.9
61,784.0013,2.206935,97.1201,0.05,43.1926,81725.27,0.970866,70.1,15.0,57.8
62,782.8206,2.15932,98.2608,0.05,50.0895,34789.19,0.955748,70.1,14.5,56.9
63,760.7143,2.241057,98.718,0.05,34.765,649005.53,0.994845,67.7,17.0,55.9
64,789.9051,2.372028,99.8564,0.05,46.5026,25640.87,0.999101,71.5,13.4,56.0
65,774.2443,2.140668,100.6195,0.05,42.8097,282538.83,0.993795,68.8,15.2,56.3
66,733.5925,2.195993,101.4773,0.05,24.5738,618676.07,0.940969,63.0,18.9,59.9
67,778.7467,2.139887,102.2728,0.05,40.7964,53093.07,0.995659,69.8,15.7,61.3
68,774.6651,2.092705,103.3314,0.05,35.5025,1066651.28,0.984689,69.9,15.4,57.9
69,770.5012,1.907511,104.4457,0.05,45.1892,53385.99,1.020873,69.5,15.9,58.6
70,783.4793,1.992239,105.29,0.05,49.5599,228098.14,1.001423,70.1,15.0,58.6
71,783.7741,2.018833,106.2309,0.05,51.8812,41632.78,1.04094,70.5,15.8,61.5
72,759.5715,1.921659,107.5397,0.05,52.1382,24836.06,1.06306,67.9,16.9,55.8
73,766.0793,1.896228,109.1932,0.05,50.101,214842.3,0.903983,67.4,16.0,54.1
74,757.5154,1.744994,109.8616,0.05,48.7464,59837.02,0.896268,65.6,18.5,61.7
75,751.7405,1.751214,110.9161,0.05,35.6327,113800.8,0.837692,65.5,18.5,56.2
76,749.7561,1.716856,111.2251,0.05,38.0397,794819.69,1.096422,66.9,16.9,58.3
77,763.6363,1.639814,111.8273,0.05,36.9434,584776.92,0.915038,67.8,17.6,57.0
78,793.2934,1.709818,113.2467,0.05,41.0366,479865.25,0.960978,72.2,15.0,58.3
79,745.0399,1.719294,114.0369,0.05,34.9607,619258.38,1.019328,65.1,16.6,60.1
80,777.1758,1.974337,114.7893,0.05,44.673,745118.89,0.861822,70.1,15.1,62.7
81,758.8519,1.965323,115.445,0.05,33.0423,771758.76,1.186443,69.3,17.3,56.7
82,730.9887,1.940649,117.3035,0.05,29.7944,165062.35,0.981656,62.9,19.0,61.1
83,741.1307,1.938882,119.2436,0.05,27.0394,322475.09,1.027231,65.1,18.3,59.1
84,764.8822,2.190726,120.339,0.05,37.9347,263872.59,1.017026,68.2,17.5,56.5
85,772.3823,2.032843,120.06,0.05,37.1492,146734.99,0.865901,68.9,15.8,55.2
86,766.9907,2.060194,120.4328,0.05,34.1962,257874.52,0.954765,68.6,15.2,64.2
87,789.113,2.022743,120.3718,0.05,47.5968,10599.89,0.888161,71.1,15.9,55.6
88,753.8725,2.163821,119.1358,0.05,48.2733,137836.36,1.021592,67.2,15.8,56.9
89,779.758,2.102852,119.3316,0.05,35.231,66767.96,0.86407,69.0,15.8,58.6
90,775.4943,2.123953,119.3094,0.05,36.4704,106403.5,0.958719,69.9,16.0,58.3
91,790.148,2.083525,119.8005,0.05,43.3737,8949.18,0.883138,71.1,15.8,59.0
92,774.5945,2.143127,121.5208,0.05,47.2288,502449.54,0.957335,69.1,16.3,56.5
93,755.7989,2.05196,121.2916,0.05,26.8365,2073032.9,0.809494,66.5,17.7,58.9
94,769.9182,2.195176,121.6776,0.05,49.0429,145698.92,0.858506,67.9,16.2,54.8
95,745.9918,1.959237,122.5847,0.05,33.3949,64476.82,1.017615,66.1,17.6,61.6
96,756.2007,1.8949,122.6108,0.05,36.0811,156604.15,0.944749,67.0,16.6,58.5
97,750.5912,1.815998,122.8478,0.05,31.5097,584475.51,0.853952,65.2,18.0,60.8
98,779.1422,1.799045,123.2655,0.05,33.7331,1021433.64,0.862677,70.4,16.3,58.0
99,762.2885,1.708128,124.6815,0.05,42.6262,32883.47,0.885598,66.8,15.9,59.8
100,757.0311,1.741053,125.5524,0.05,40.7763,87445.42,0.984496,66.0,16.3,58.5
101,787.2751,1.742739,127.3457,0.05,50.1432,102094.64,0.915547,71.0,14.6,57.7
102,764.6202,1.829018,127.9277,0.05,42.9472,29219.02,0.83968,67.8,16.8,60.0
103,774.4251,1.824735,129.231,0.05,37.9326,268558.0,1.024338,70.2,15.3,57.1
104,777.2293,1.82195,130.3372,0.05,57.8987,109992.24,1.042995,70.1,15.0,60.3
105,776.2187,1.757979,131.1206,0.05,51.7945,51163.29,0.946659,69.4,15.1,58.0
106,760.1152,1.86756,132.883,0.05,48.1087,1434036.18,0.988083,67.4,15.7,58.1
107,787.4849,1.954381,134.3025,0.05,37.1263,59147.72,0.901061,71.0,17.3,57.7
108,776.77,1.985505,134.2929,0.05,47.6936,289280.96,0.931085,69.1,14.3,58.9
109,759.7817,1.997887,135.5818,0.05,41.3788,445764.61,0.983129,66.8,16.7,55.9
110,738.1859,2.087657,135.3838,0.05,45.8584,53887.34,1.05742,64.3,17.6,55.4
111,794.6222,2.19754,135.8912,0.05,51.8187,151784.41,0.974962,72.9,15.3,58.1
112,796.9442,2.279787,137.3576,0.05,61.4528,593987.1,0.839023,72.2,15.0,50.3
113,766.5598,2.338431,137.6603,0.05,39.3587,32145.75,0.984161,68.5,16.6,57.6
114,778.6334,2.47754,137.995,0.05,39.3478,61396.85,0.879587,70.0,16.3,59.3
115,779.4135,2.624332,139.2979,0.05,36.322,67285.7,0.924994,71.3,16.6,55.0
