episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,4392.6034,0.070512,4.9935,0.886,35.4015,43.16,0.926773,62.5,17.85,73.37
1,4535.6979,0.084293,14.459,0.772,45.7349,30.53,0.944902,66.82,16.45,74.35
2,4601.3194,0.182515,23.2138,0.658,47.5659,27.17,0.898229,67.85,16.1,71.37
3,4774.4423,0.281961,31.0494,0.544,64.5322,20.35,0.975715,72.65,14.2,66.47
4,4863.4263,0.435526,38.6915,0.43,75.4614,31.0,0.955086,75.22,14.22,64.48
5,4914.9853,0.566832,45.4244,0.316,70.8313,12.77,0.936759,76.32,13.83,60.9
6,4877.8329,0.653133,50.356,0.202,55.7356,11.81,0.959053,75.25,14.57,58.78
7,5018.6127,0.675614,54.7134,0.088,68.9566,7.12,0.920002,78.95,13.0,56.15
8,4892.1618,0.793056,58.2775,0.05,45.7152,9.66,0.95688,76.52,14.18,54.95
9,4911.0746,0.787039,60.9845,0.05,54.3041,9.53,1.000968,77.08,13.65,54.4
10,4885.7104,0.914931,64.4309,0.05,52.2606,10.98,0.954345,75.63,13.47,54.38
11,4934.9396,0.914956,67.3838,0.05,53.7223,7.97,0.96795,77.42,13.82,54.9
12,4852.3373,0.924654,70.4691,0.05,43.5036,13.47,0.909511,74.62,14.7,53.6
13,4877.8822,0.887596,72.2942,0.05,46.6404,10.07,0.956454,75.52,14.05,54.35
14,4913.2021,0.853136,73.3394,0.05,49.561,9.75,0.976263,76.98,13.38,50.92
15,4789.8179,0.858479,74.2774,0.05,41.5914,11.34,0.943772,73.15,14.72,53.22
16,4772.1947,0.871462,75.8772,0.05,48.004,11.08,0.934577,72.6,14.72,53.3
17,4888.1948,0.958789,76.8862,0.05,49.087,8.09,0.864225,75.98,13.68,54.07
18,4821.2033,0.880703,77.2562,0.05,43.0538,11.81,0.866582,73.37,14.83,51.32
19,4792.8769,0.895517,78.1609,0.05,47.1441,17.01,0.883597,72.88,14.8,51.4
20,4820.6202,0.868934,79.6856,0.05,50.006,17.05,0.960553,73.83,13.47,51.45
21,4836.9823,0.916844,80.4203,0.05,49.8714,11.26,0.918632,74.38,14.03,53.85
22,4895.3293,0.847199,80.7011,0.05,56.2451,8.68,0.853284,75.12,13.9,50.95
23,4821.2452,0.806854,80.9296,0.05,38.0719,13.82,0.958022,74.53,14.38,50.33
24,4901.7519,0.778693,81.7161,0.05,42.3466,35.28,0.850717,75.87,13.73,48.0
25,4920.3113,0.770607,82.5416,0.05,52.268,10.24,0.922085,76.95,13.73,50.0
26,4847.3976,0.727062,83.0082,0.05,45.9895,9.31,0.878288,74.08,14.25,50.55
27,4734.6521,0.740818,83.6405,0.05,41.5059,14.65,0.973335,72.43,15.45,49.0
28,4881.7492,0.74429,83.5893,0.05,53.2355,15.54,0.981894,76.12,13.15,48.35
29,4796.6768,0.685289,83.8319,0.05,43.4571,18.46,0.929684,73.7,14.53,49.07
30,4852.6787,0.646166,84.7615,0.05,42.983,13.35,0.958186,75.55,13.77,50.08
31,4867.4301,0.668477,84.4367,0.05,43.5126,13.46,0.909257,75.78,13.97,46.88
32,4900.2958,0.614001,84.4971,0.05,50.4827,18.37,0.937957,76.85,13.58,47.65
33,4863.6445,0.593487,84.2274,0.05,38.879,14.89,0.860152,74.93,14.47,47.78
34,4945.863,0.637843,84.7306,0.05,52.4624,11.5,0.940009,77.3,12.7,46.45
35,4813.8424,0.6341,85.7734,0.05,42.6114,11.68,0.959934,74.82,14.48,50.52
36,4872.725,0.63468,87.2696,0.05,38.748,18.38,0.915821,74.95,14.2,45.73
37,4941.2597,0.602527,87.8606,0.05,56.4712,10.8,1.041695,78.52,12.92,46.7
38,5031.6008,0.567453,88.2939,0.05,63.409,7.28,0.860742,79.67,13.03,45.08
39,4928.5492,0.521387,88.131,0.05,53.2581,11.2,1.018268,77.78,13.1,46.37
40,4968.8386,0.500477,87.6407,0.05,57.8102,11.03,0.951536,77.57,12.37,45.67
41,4870.8399,0.47023,88.1009,0.05,45.0917,11.09,0.898069,75.1,14.02,45.32
