episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,4386.5121,0.07058,4.9674,0.886,36.803,28.61,0.931742,62.92,18.52,74.12
1,4500.4748,0.098349,14.6579,0.772,43.5907,35.87,0.941936,65.9,17.08,72.95
2,4660.1362,0.178232,23.6437,0.658,53.9835,21.12,0.952202,69.43,15.27,71.15
3,4666.9926,0.261171,31.4249,0.544,54.2987,20.26,0.967908,69.22,15.62,69.58
4,4749.6547,0.374386,38.4553,0.43,51.5173,15.92,0.923179,71.93,14.85,66.3
5,4779.1132,0.471052,44.5555,0.316,54.548,11.59,0.956493,72.13,14.42,64.53
6,4940.6856,0.616316,50.0407,0.202,57.0794,11.38,0.967255,77.15,12.85,58.77
7,4950.6345,0.638271,54.6169,0.088,55.9036,12.61,0.919667,76.97,13.15,57.83
8,4902.8553,0.710644,58.8978,0.05,64.0448,13.27,1.026012,76.68,13.33,54.82
9,4899.2799,0.818857,62.6959,0.05,54.0953,13.9,0.909053,75.8,13.68,56.22
10,4881.6852,0.844064,65.5666,0.05,51.5196,20.39,1.025205,76.18,13.47,56.02
11,4928.0992,0.923912,68.6629,0.05,47.6992,13.65,0.921723,76.15,12.92,55.6
12,4798.191,0.959621,72.1183,0.05,44.5338,11.51,1.013204,74.05,14.77,55.53
13,4905.7017,0.897906,74.3915,0.05,46.3645,10.15,1.001299,76.75,13.42,53.87
14,4880.6308,1.008084,75.8927,0.05,45.4893,19.71,0.948324,75.83,13.53,53.3
15,4864.2189,1.011235,76.7184,0.05,46.4328,13.19,0.990198,75.28,13.8,53.95
16,4872.167,1.014564,78.1961,0.05,51.4208,11.42,0.999223,75.68,12.35,53.13
17,4971.6484,1.063661,80.2176,0.05,58.8337,22.26,0.916629,77.43,12.17,53.95
18,4877.9563,1.047398,81.68,0.05,51.2998,8.44,0.995348,75.78,12.47,52.73
19,5001.2493,1.049207,82.7431,0.05,66.7568,8.05,0.975553,78.78,12.35,49.28
20,4896.2809,1.046634,84.9833,0.05,49.0407,14.28,0.903232,75.75,13.37,52.38
21,4896.4529,1.180678,86.6909,0.05,46.1414,11.83,0.918627,75.95,12.98,53.47
22,4936.2058,1.122984,87.9928,0.05,56.644,15.73,0.955695,77.5,13.13,53.27
23,4819.6271,1.059946,88.4081,0.05,42.3413,38.16,0.961517,73.92,13.38,49.85
24,4973.2072,0.983868,87.4801,0.05,52.6186,10.21,1.010143,79.23,12.38,47.75
25,4991.1032,0.992225,88.5251,0.05,59.8381,8.25,0.965812,78.7,12.15,51.1
26,4966.1939,0.93785,88.5737,0.05,45.9709,9.87,0.905337,77.8,13.1,50.33
27,4981.2841,0.93809,88.5679,0.05,47.6404,11.71,0.918981,77.8,12.67,48.25
28,4915.3282,0.902973,89.2246,0.05,41.3288,10.71,0.944779,76.73,12.55,45.23
29,4960.4779,0.804297,89.0078,0.05,48.3935,14.65,0.924665,77.23,12.45,46.5
30,4949.8781,0.797871,89.5785,0.05,48.2076,9.01,0.896993,76.33,11.97,47.15
31,4890.7906,0.790668,89.1398,0.05,42.3224,14.15,1.004355,76.07,12.78,50.03
32,4951.9299,0.695922,87.9362,0.05,46.4974,8.01,0.932323,76.63,12.98,48.0
33,4968.6885,0.664921,87.8247,0.05,48.2082,12.05,0.9703,78.52,12.7,48.48
34,4897.2343,0.628814,88.5202,0.05,42.9523,11.09,0.934418,75.63,13.17,47.85
35,4953.9725,0.62399,88.8771,0.05,52.5359,19.89,0.931273,77.85,12.72,46.18
36,4973.1171,0.606484,89.3821,0.05,52.2084,8.42,0.941804,78.32,12.4,45.82
37,4990.5284,0.583609,90.53,0.05,53.8111,9.73,0.967056,78.28,11.52,47.1
38,4966.2967,0.616931,91.8963,0.05,54.402,9.66,0.957547,77.42,11.93,45.95
39,4963.5752,0.557413,92.2523,0.05,53.473,13.33,0.95362,77.52,11.88,48.95
40,5019.0997,0.531034,92.2678,0.05,51.9398,7.88,1.01863,79.28,11.97,47.03
41,4871.9438,0.506417,92.8463,0.05,53.1482,15.24,0.925168,75.63,12.97,46.53
42,4915.8618,0.498095,92.341,0.05,62.3375,17.34,0.966362,76.57,13.1,44.6
43,5036.5693,0.482577,92.9528,0.05,66.9624,13.01,0.960508,80.03,12.15,42.15
44,4844.0252,0.426424,93.0245,0.05,47.5049,12.21,0.905378,73.95,13.72,48.82
45,4961.8747,0.42826,92.2426,0.05,54.8449,12.66,0.953513,77.62,12.33,44.0
46,4850.0022,0.41781,91.3863,0.05,42.8481,14.65,0.992832,75.0,13.83,48.97
47,4870.2599,0.375753,90.6628,0.05,45.3865,14.12,0.871672,74.52,13.43,45.28
48,5021.8652,0.376553,90.052,0.05,45.1614,10.28,0.852665,78.35,12.77,45.63
49,4880.8816,0.353605,89.1385,0.05,49.1914,15.83,0.938879,74.77,12.95,45.85
50,4924.0327,0.368581,88.2228,0.05,44.3956,9.5,0.965115,76.43,13.33,45.07
51,4912.8867,0.313197,87.4373,0.05,51.0232,16.67,0.978175,76.48,13.18,41.42
52,4991.3249,0.300565,87.5264,0.05,47.8393,11.4,0.910999,78.02,12.45,46.8
53,5023.6393,0.319265,87.9017,0.05,55.7193,11.35,0.944119,78.83,12.2,43.73
54,5005.2784,0.292907,88.5414,0.05,55.4177,9.91,0.811984,77.5,12.22,45.03
55,4980.48,0.291453,89.0715,0.05,51.6396,11.97,0.897652,78.58,12.87,44.52
56,5052.2565,0.269932,89.0838,0.05,62.9404,12.6,0.929602,79.97,11.92,40.18
57,4843.9897,0.269117,88.9173,0.05,39.9592,9.2,1.002937,75.65,13.68,41.23
58,4939.217,0.246638,88.232,0.05,51.4862,14.08,0.965768,77.38,13.05,39.33
59,4953.1197,0.241479,88.6841,0.05,46.4854,8.75,0.931578,77.0,12.62,41.42
60,4965.9611,0.221392,88.5729,0.05,50.2301,18.48,0.874164,76.22,12.75,41.43
61,4860.3248,0.221295,88.7755,0.05,49.787,17.78,0.912131,74.3,14.07,41.72
62,4852.1646,0.194916,88.9701,0.05,44.4417,14.63,1.043583,74.83,12.57,42.6
63,4918.4936,0.191005,88.2985,0.05,41.4501,11.97,0.860682,76.07,13.47,39.2
64,4919.833,0.178043,87.4361,0.05,40.1831,8.6,0.872722,75.38,13.27,38.85
65,4960.9832,0.169393,86.858,0.05,61.8064,10.6,0.962905,77.58,12.87,39.22
66,4908.3909,0.151205,86.4135,0.05,47.8719,11.22,0.960389,76.75,12.78,42.07
67,4910.922,0.167323,86.3079,0.05,42.5311,11.32,0.963749,76.32,13.28,42.6
