episode,reward,loss,mean_q,epsilon,throughput_mbps,latency_ms,energy_mj,qos_sat_pct,packet_loss_pct,switch_pct
0,31271.0057,0.051009,28.9073,0.24,55.6798,21.76,0.945728,70.24,15.17,70.8
1,33828.8859,0.135026,59.376,0.05,59.8113,8.99,0.975966,80.67,11.27,65.56
2,33241.5153,0.149616,73.7857,0.05,53.6977,9.8,0.980573,78.97,12.2,68.05
3,32417.8456,0.171344,79.9978,0.05,45.6046,13.7,0.95987,75.37,13.33,70.25
4,32965.6667,0.151661,79.9492,0.05,51.0482,9.99,0.984238,77.76,12.43,69.14
5,33096.7464,0.129952,83.8879,0.05,52.4501,13.5,0.932904,77.81,12.19,69.36
6,32915.8471,0.098285,83.898,0.05,47.9223,10.36,0.951794,77.16,12.52,69.48
7,32822.1127,0.067731,83.1083,0.05,46.8639,12.17,0.926191,76.65,12.77,70.1
8,33159.4817,0.053934,81.2992,0.05,48.438,11.54,0.948099,78.36,12.15,67.81
9,32995.1837,0.045795,80.131,0.05,48.0663,10.56,0.943818,77.68,12.43,69.0
10,32672.6062,0.040425,81.3832,0.05,45.0199,13.81,0.955809,76.5,12.88,70.17
11,32857.0173,0.04037,82.3676,0.05,45.157,11.5,0.952733,77.04,12.81,69.23
12,32964.9826,0.040925,82.9535,0.05,45.6196,15.98,0.912907,77.2,12.83,70.52
13,33080.2762,0.039531,83.6464,0.05,46.9699,10.35,0.939206,77.75,12.29,70.71
14,33047.3563,0.040109,83.4139,0.05,47.8158,12.49,0.922212,77.38,12.43,69.07
15,33166.0518,0.038434,83.2506,0.05,48.398,11.66,0.942399,78.3,12.0,68.38
16,33250.5261,0.03852,83.5777,0.05,46.5616,11.86,0.933336,78.31,12.01,69.74
17,32967.7075,0.038245,84.0497,0.05,44.6923,11.22,0.929065,77.07,12.43,68.58
18,33343.809,0.038451,83.4826,0.05,50.0647,9.17,0.917102,78.58,11.78,67.86
19,33275.763,0.037689,84.1962,0.05,47.8267,9.51,0.936811,78.36,11.65,67.85
20,33248.6349,0.039076,83.8865,0.05,48.2902,12.5,0.939434,78.49,12.12,69.29
21,33097.2525,0.040182,85.6458,0.05,50.1122,11.11,0.93787,78.02,12.06,68.27
22,33124.3882,0.038755,85.6806,0.05,46.5447,11.45,0.930429,77.86,12.38,70.57
